doi,field,n_subsections
10.1371/journal.pbio.1001238,Biochemistry,6
10.1371/journal.pgen.1000935,Biochemistry,8
10.1371/journal.pntd.0001442,Biochemistry,4
10.1371/journal.pntd.0001373,Biochemistry,7
10.1371/journal.pcbi.1002149,Anatomy,5
10.1371/journal.pbio.1001242,Biochemistry,5
10.1371/journal.pcbi.1002325,Computational biology,6
10.1371/journal.pgen.1000317,Biochemistry,5
10.1371/journal.pntd.0001456,Cell biology,4
10.1371/journal.pbio.0060231,Biochemistry,8
10.1371/journal.pbio.1000105,Biochemistry,4
10.1371/journal.pntd.0000832,Anatomy,4
10.1371/journal.pntd.0001392,Organisms,4
10.1371/journal.pntd.0001429,Cell biology,7
10.1371/journal.pntd.0000804,Biochemistry,5
10.1371/journal.pcbi.1002331,Biochemistry,5
10.1371/journal.pbio.1000087,Biochemistry,7
10.1371/journal.pcbi.1000441,Biochemistry,7
10.1371/journal.pntd.0000811,Microbiology,6
10.1371/journal.pmed.1000423,Immunology,4
10.1371/journal.pbio.1000088,Biochemistry,8
10.1371/journal.pntd.0001383,Cell biology,5
10.1371/journal.pntd.0000815,Anatomy,4
10.1371/journal.pntd.0000809,Biochemistry,6
10.1371/journal.pcbi.0020139,Biochemistry,5
10.1371/journal.pbio.0060233,Biochemistry,7
10.1371/journal.pntd.0001455,Computational biology,4
10.1371/journal.pcbi.1000438,Anatomy,4
10.1371/journal.pgen.1000937,Anatomy,6
10.1371/journal.pntd.0001377,Anatomy,4
10.1371/journal.pntd.0000836,Ecology,4
10.1371/journal.pcbi.1000446,Biochemistry,5
10.1371/journal.pcbi.0020061,Biochemistry,4
10.1371/journal.pmed.0010064,Genetics,6
10.1371/journal.pntd.0000853,Cell biology,8
10.1371/journal.pntd.0001448,Evolutionary biology,4
10.1371/journal.pcbi.0020158,Cell biology,7
10.1371/journal.pmed.1000408,Agriculture,8
10.1371/journal.pntd.0000782,Biochemistry,7
